frame_index,latitude,longitude
0,28.6139,77.2091
30,28.61413,77.209396
60,28.614356,77.209683
90,28.614578,77.209962
120,28.614793,77.210236
150,28.615,77.210507
180,28.615197,77.210777
210,28.615386,77.21105
240,28.615568,77.211326
270,28.615743,77.21161
300,28.615914,77.211901
330,28.616084,77.212201
360,28.616256,77.21251
390,28.616431,77.212827
420,28.616613,77.213151
450,28.616802,77.213479
480,28.617,77.213809
510,28.617207,77.214138
540,28.617423,77.214463
570,28.617645,77.214783
600,28.617872,77.215096
630,28.618102,77.2154
660,28.618331,77.215695
690,28.618558,77.215982
720,28.618779,77.216261
750,28.618994,77.216535
780,28.6192,77.216805
810,28.619397,77.217076
840,28.619585,77.217348
870,28.619766,77.217625
900,28.619941,77.217909
930,28.620112,77.218201
960,28.620283,77.218502
990,28.620454,77.218811
1020,28.62063,77.219129
1050,28.620812,77.219452
1080,28.621002,77.219781
1110,28.621201,77.22011
1140,28.621408,77.220439
1170,28.621624,77.220765
1200,28.621846,77.221084
1230,28.622074,77.221396
1260,28.622303,77.2217
1290,28.622533,77.221994
1320,28.622759,77.222281
1350,28.62298,77.222559
1380,28.623194,77.222833
1410,28.6234,77.223104
1440,28.623597,77.223374
1470,28.623785,77.223647
1500,28.623965,77.223924
1530,28.62414,77.224208
1560,28.624311,77.224501
1590,28.624481,77.224802
1620,28.624653,77.225112
1650,28.624829,77.22543
1680,28.625011,77.225754
1710,28.625202,77.226082
1740,28.625401,77.226412
1770,28.625609,77.226741
1800,28.625825,77.227066
1830,28.626048,77.227385
1860,28.626275,77.227697
1890,28.626505,77.228
1920,28.626734,77.228294
1950,28.626961,77.22858
1980,28.627181,77.228858
2010,28.627395,77.229131
2040,28.6276,77.229402
2070,28.627796,77.229672
2100,28.627984,77.229945
2130,28.628164,77.230223
2160,28.628338,77.230508
2190,28.628509,77.2308
2220,28.628679,77.231102
2250,28.628851,77.231413
2280,28.629028,77.231731
2310,28.62921,77.232055
2340,28.629401,77.232384
2370,28.629601,77.232714
2400,28.629809,77.233042
2430,28.630026,77.233367
2460,28.630249,77.233686
2490,28.630477,77.233997
2520,28.630707,77.2343
2550,28.630936,77.234593
2580,28.631162,77.234879
2610,28.631382,77.235157
2640,28.631595,77.23543
2670,28.6318,77.2357
2700,28.631996,77.235971
2730,28.632183,77.236244
2760,28.632362,77.236522
2790,28.632537,77.236807
2820,28.632707,77.2371
2850,28.632878,77.237403
2880,28.63305,77.237714
2910,28.633227,77.238032
2940,28.63341,77.238357
2970,28.633601,77.238686
