frame_index,latitude,longitude
0,28.6089,77.2171
30,28.60911,77.217376
60,28.609316,77.217643
90,28.609518,77.217902
120,28.609713,77.218156
150,28.6099,77.218407
180,28.610077,77.218657
210,28.610246,77.21891
240,28.610408,77.219166
270,28.610563,77.21943
300,28.610714,77.219701
330,28.610864,77.219981
360,28.611016,77.22027
390,28.611171,77.220567
420,28.611333,77.220871
450,28.611502,77.221179
480,28.61168,77.221489
510,28.611867,77.221798
540,28.612063,77.222103
570,28.612265,77.222403
600,28.612472,77.222696
630,28.612682,77.22298
660,28.612891,77.223255
690,28.613098,77.223522
720,28.613299,77.223781
750,28.613494,77.224035
780,28.61368,77.224285
810,28.613857,77.224536
840,28.614025,77.224788
870,28.614186,77.225045
900,28.614341,77.225309
930,28.614492,77.225581
960,28.614643,77.225862
990,28.614794,77.226151
1020,28.61495,77.226449
1050,28.615112,77.226752
1080,28.615282,77.227061
1110,28.615461,77.22737
1140,28.615648,77.227679
1170,28.615844,77.227985
1200,28.616046,77.228284
1230,28.616254,77.228576
1260,28.616463,77.22886
1290,28.616673,77.229134
1320,28.616879,77.229401
1350,28.61708,77.229659
1380,28.617274,77.229913
1410,28.61746,77.230164
1440,28.617637,77.230414
1470,28.617805,77.230667
1500,28.617965,77.230924
1530,28.61812,77.231188
1560,28.618271,77.231461
1590,28.618421,77.231742
1620,28.618573,77.232032
1650,28.618729,77.23233
1680,28.618891,77.232634
1710,28.619062,77.232942
1740,28.619241,77.233252
1770,28.619429,77.233561
1800,28.619625,77.233866
1830,28.619828,77.234165
1860,28.620035,77.234457
1890,28.620245,77.23474
1920,28.620454,77.235014
1950,28.620661,77.23528
1980,28.620861,77.235538
2010,28.621055,77.235791
2040,28.62124,77.236042
2070,28.621416,77.236292
2100,28.621584,77.236545
2130,28.621744,77.236803
2160,28.621898,77.237068
2190,28.622049,77.23734
2220,28.622199,77.237622
2250,28.622351,77.237913
2280,28.622508,77.238211
2310,28.62267,77.238515
2340,28.622841,77.238824
2370,28.623021,77.239134
2400,28.623209,77.239442
2430,28.623406,77.239747
2460,28.623609,77.240046
2490,28.623817,77.240337
2520,28.624027,77.24062
2550,28.624236,77.240893
2580,28.624442,77.241159
2610,28.624642,77.241417
2640,28.624835,77.24167
2670,28.62502,77.24192
2700,28.625196,77.242171
2730,28.625363,77.242424
2760,28.625522,77.242682
2790,28.625677,77.242947
2820,28.625827,77.24322
2850,28.625978,77.243503
2880,28.62613,77.243794
2910,28.626287,77.244092
2940,28.62645,77.244397
2970,28.626621,77.244706
